mode,tcp_stream,direction,handshake_bytes
hybrid,4,server_to_client,2093
hybrid,3,server_to_client,2094
hybrid,4,client_to_server,1532
hybrid,2,server_to_client,2095
hybrid,3,client_to_server,1532
hybrid,1,server_to_client,2094
hybrid,0,server_to_client,2095
hybrid,2,client_to_server,1532
hybrid,1,client_to_server,1532
hybrid,0,client_to_server,1532
classic,4,server_to_client,1005
classic,3,server_to_client,1005
classic,4,client_to_server,356
classic,2,server_to_client,1005
classic,3,client_to_server,356
classic,1,server_to_client,1006
classic,0,server_to_client,1006
classic,2,client_to_server,356
classic,1,client_to_server,356
classic,0,client_to_server,356
