hop,mode,rep,i,warmup,ms,bytes_out,bytes_in
H1-edge,hybrid,1,0,1,0.604,1550,2033
H1-edge,hybrid,1,1,1,0.457,1550,2032
H1-edge,hybrid,1,2,1,0.439,1550,2031
H1-edge,hybrid,1,3,1,0.413,1550,2032
H1-edge,hybrid,1,4,1,0.385,1550,2033
H1-edge,hybrid,1,5,1,0.377,1550,2033
H1-edge,hybrid,1,6,1,0.389,1550,2031
H1-edge,hybrid,1,7,1,0.386,1550,2030
H1-edge,hybrid,1,8,1,0.44,1550,2032
H1-edge,hybrid,1,9,1,0.362,1550,2032
H1-edge,hybrid,1,10,0,0.399,1550,2032
H1-edge,hybrid,1,11,0,0.347,1550,2032
H1-edge,hybrid,1,12,0,0.365,1550,2033
H1-edge,hybrid,1,13,0,0.338,1550,2031
H1-edge,hybrid,1,14,0,0.369,1550,2031
H1-edge,hybrid,1,15,0,0.36,1550,2033
H1-edge,hybrid,1,16,0,0.38,1550,2032
H1-edge,hybrid,1,17,0,0.356,1550,2032
H1-edge,hybrid,1,18,0,0.354,1550,2032
H1-edge,hybrid,1,19,0,0.391,1550,2032
H1-edge,hybrid,1,20,0,0.352,1550,2032
H1-edge,hybrid,1,21,0,0.351,1550,2032
H1-edge,hybrid,1,22,0,0.414,1550,2033
H1-edge,hybrid,1,23,0,0.394,1550,2032
H1-edge,hybrid,1,24,0,0.35,1550,2032
H1-edge,hybrid,1,25,0,0.368,1550,2031
H1-edge,hybrid,1,26,0,0.361,1550,2032
H1-edge,hybrid,1,27,0,0.338,1550,2032
H1-edge,hybrid,1,28,0,0.347,1550,2032
H1-edge,hybrid,1,29,0,0.335,1550,2033
H1-edge,hybrid,1,30,0,0.373,1550,2032
H1-edge,hybrid,1,31,0,0.339,1550,2031
H1-edge,hybrid,1,32,0,0.389,1550,2032
H1-edge,hybrid,1,33,0,0.333,1550,2032
H1-edge,hybrid,1,34,0,0.361,1550,2032
H1-edge,hybrid,1,35,0,0.334,1550,2032
H1-edge,hybrid,1,36,0,0.353,1550,2032
H1-edge,hybrid,1,37,0,0.346,1550,2032
H1-edge,hybrid,1,38,0,0.363,1550,2032
H1-edge,hybrid,1,39,0,0.328,1550,2031
H1-edge,hybrid,1,40,0,0.35,1550,2031
H1-edge,hybrid,1,41,0,0.342,1550,2032
H1-edge,hybrid,1,42,0,0.348,1550,2033
H1-edge,hybrid,1,43,0,0.323,1550,2032
H1-edge,hybrid,1,44,0,0.333,1550,2032
H1-edge,hybrid,1,45,0,0.341,1550,2033
H1-edge,hybrid,1,46,0,0.337,1550,2032
H1-edge,hybrid,1,47,0,0.365,1550,2033
H1-edge,hybrid,1,48,0,0.34,1550,2032
H1-edge,hybrid,1,49,0,0.352,1550,2033
