mode,profile,rate_rps,rtt_ms,reps,hs_p50_ms,hs_p95_ms,hs_p99_ms,hs_avg_ms,dur_p50_ms,dur_p95_ms,dur_p99_ms,dur_avg_ms,conn_p50_ms,conn_p95_ms,conn_p99_ms,conn_avg_ms,reqs_per_s,failed_rate,hs_p50_ms_ci95,hs_p95_ms_ci95,hs_p99_ms_ci95,hs_avg_ms_ci95,dur_p50_ms_ci95,dur_p95_ms_ci95,dur_p99_ms_ci95,dur_avg_ms_ci95,conn_p50_ms_ci95,conn_p95_ms_ci95,conn_p99_ms_ci95,conn_avg_ms_ci95,reqs_per_s_ci95,failed_rate_ci95
classic,churn,15,0,3,1.512,1.822,2.098,1.395,4.773,7.63,8.686,4.826,0.223,0.334,0.402,0.227,15.145,0.0,0.031,0.07,0.26,0.01,0.208,0.709,1.162,0.253,0.011,0.021,0.028,0.003,0.114,0.0
classic,churn,15,20,3,21.582,23.28,24.924,21.622,87.929,91.979,94.09,87.628,20.477,21.5,22.839,20.594,15.005,0.0,0.074,0.461,1.397,0.354,0.227,0.72,1.805,0.572,0.064,0.198,0.582,0.341,0.077,0.0
classic,churn,45,0,3,1.36,1.569,1.708,1.223,3.849,6.489,7.693,3.995,0.172,0.248,0.288,0.145,45.316,0.0,0.026,0.033,0.024,0.046,0.358,0.196,0.389,0.262,0.015,0.016,0.03,0.093,0.297,0.0
classic,pooled,15,0,3,0.0,0.935,1.675,0.084,4.808,7.753,8.952,4.871,0.0,0.162,0.29,0.014,15.093,0.0,0.0,0.524,0.47,0.039,0.282,0.27,0.343,0.224,0.0,0.073,0.176,0.007,0.167,0.0
classic,pooled,45,0,3,0.0,0.885,1.516,0.078,3.958,6.591,7.7,4.024,0.0,0.129,0.21,0.017,45.221,0.0,0.0,0.269,0.143,0.008,0.246,0.165,0.242,0.168,0.0,0.027,0.043,0.004,0.397,0.0
hybrid,churn,15,0,3,1.947,2.369,2.676,1.711,5.436,8.265,9.329,5.409,0.271,0.4,0.457,0.269,15.15,0.0,0.024,0.147,0.183,0.334,0.074,0.518,0.315,0.103,0.01,0.034,0.072,0.011,0.078,0.0
hybrid,churn,15,20,3,21.866,23.302,25.113,21.833,87.713,91.741,93.981,87.571,20.404,21.38,23.042,20.532,14.983,0.0,0.034,0.826,0.576,0.25,0.498,0.957,2.581,0.472,0.034,0.687,1.024,0.25,0.144,0.0
hybrid,churn,45,0,3,1.254,1.81,1.962,1.221,3.625,6.218,7.549,3.752,0.165,0.258,0.317,0.165,45.382,0.0,0.054,0.046,0.079,0.063,0.213,0.4,0.813,0.046,0.007,0.019,0.056,0.006,0.036,0.0
hybrid,pooled,15,0,3,0.0,1.124,2.184,0.108,5.497,8.634,9.92,5.493,0.0,0.172,0.341,0.017,15.137,0.0,0.0,0.558,0.194,0.017,0.627,0.564,0.293,0.565,0.0,0.151,0.049,0.005,0.107,0.0
hybrid,pooled,45,0,3,0.0,0.737,1.445,0.072,4.092,6.842,8.528,4.149,0.0,0.102,0.252,0.018,45.342,0.0,0.0,0.33,0.384,0.019,0.245,0.241,0.124,0.173,0.0,0.024,0.099,0.007,0.27,0.0
