hop,mode,reps,samples_per_rep,ms_p50,ms_p95,ms_p99,bytes_out_p50,bytes_out_p95,bytes_out_p99,bytes_in_p50,bytes_in_p95,bytes_in_p99,ms_p50_ci95,ms_p95_ci95,ms_p99_ci95
H1-edge,classic,3,100,0.274,0.316,0.351,597.0,597.0,597.0,944.0,945.0,945.0,0.007,0.019,0.029
H1-edge,hybrid,3,100,0.351,0.391,0.411,1550.0,1550.0,1550.0,2032.0,2033.0,2033.0,0.003,0.025,0.026
H2a-py,classic,3,100,0.276,0.319,0.347,597.0,597.0,597.0,940.0,941.0,941.0,0.006,0.015,0.027
H2a-py,hybrid,3,100,0.361,0.42,0.488,1555.0,1555.0,1555.0,2028.0,2029.0,2029.0,0.026,0.098,0.215
H2b-node,classic,3,100,0.27,0.325,0.518,597.0,597.0,597.0,940.0,941.0,941.0,0.002,0.022,0.168
H2b-node,hybrid,3,100,0.347,0.407,0.568,1553.0,1553.0,1553.0,2028.0,2029.0,2029.0,0.003,0.083,0.197
H3-pg,classic,3,100,0.348,0.38,0.429,597.0,597.0,597.0,950.0,951.0,951.0,0.009,0.014,0.173
H3-pg,hybrid,3,100,0.461,0.501,0.547,1546.0,1546.0,1546.0,2028.0,2029.0,2029.0,0.011,0.025,0.106
H4-redis,classic,3,100,0.268,0.302,0.316,597.0,597.0,597.0,962.0,963.0,963.0,0.009,0.008,0.026
H4-redis,hybrid,3,100,0.346,0.38,0.398,1543.0,1543.0,1543.0,2028.0,2029.0,2029.0,0.01,0.017,0.017
